Date,Open,High,Low,Close,Volume,Adj Close,,,,
1/3/95,8337.7,8849.5,7905.8,8587.7,0,8587.7,,,,
3/2/95,7383.7,8339.9,7383.7,8327.5,0,8327.5,,,,
3/1/95,8190.4,8190.4,6890.1,7342.7,0,7342.7,,,,
1/12/94,8465.2,8555.3,7670.8,8191,0,8191,,,,
1/11/94,9651.3,9675.5,8379.9,8466.3,0,8466.3,,,,
3/10/94,9516.1,9660,9186.6,9646.3,0,9646.3,,,,
1/9/94,9922.9,10280.5,9495.3,9521.2,0,9521.2,,,,
1/8/94,9510.5,9929.4,9130.1,9929.4,0,9929.4,,,,
1/7/94,8731,9541.7,8298,9482.8,0,9482.8,,,,
1/6/94,9542.3,9598.1,8461.6,8758.4,0,8758.4,,,,
2/5/94,8937.8,9773.2,8249.2,9553.6,0,9553.6,,,,
6/4/94,9098.6,9905.8,8860.5,8966.1,0,8966.1,,,,
1/3/94,10387.6,10387.6,8534,9029.9,0,9029.9,,,,
1/2/94,11523.5,12186.8,9892.1,10410.2,0,10410.2,,,,
3/1/94,11884.9,12599.2,10162.2,11487,0,11487,,,,
1/12/93,9142.9,11959.1,9102.9,11888.4,0,11888.4,,,,
1/11/93,9378.8,9825.5,8834.7,9125.2,0,9125.2,,,,
4/10/93,7674.4,9386.7,7668.7,9329.1,0,9329.1,,,,
1/9/93,7559.4,7678.6,7298.5,7676.2,0,7676.2,,,,
2/8/93,6989,7615.1,6989,7549.7,0,7549.7,,,,
1/7/93,7119.7,7339.6,6707.9,6989,0,6989,,,,
1/6/93,7364.1,7407.9,6928.1,7099.3,0,7099.3,,,,
3/5/93,6830.5,7528.7,6727.6,7372.2,0,7372.2,,,,
1/4/93,6385.2,6915.2,6250.2,6830.5,0,6830.5,,,,
1/3/93,6353.1,6538.3,5760.8,6388.9,0,6388.9,,,,
1/2/93,5743.3,6352,5661.3,6352,0,6352,,,,
4/1/93,5512.9,5970.5,5431.3,5751.4,0,5751.4,,,,
1/12/92,5676.4,5676.4,4947.8,5512.4,0,5512.4,,,,
2/11/92,6197.2,6470.8,5642.7,5810.6,0,5810.6,,,,
1/10/92,5502.7,6367.2,5440.6,6190.7,0,6190.7,,,,
1/9/92,5631.7,5776.4,5473.7,5505.4,0,5505.4,,,,
3/8/92,5885.7,5956.7,5252.3,5628.6,0,5628.6,,,,
1/7/92,6107.3,6239.7,5657.6,5881.1,0,5881.1,,,,
1/6/92,6099.4,6179,5744.3,6103.9,0,6103.9,,,,
1/5/92,5349.6,6105.4,5349.6,6080.2,0,6080.2,,,,
1/4/92,4936.6,5442.9,4729.4,5369.6,0,5369.6,,,,
2/3/92,4930.6,5113.9,4844.3,4938.3,0,4938.3,,,,
3/2/92,4603,4966.9,4603,4929.1,0,4929.1,,,,
2/1/92,4297.3,4635.1,4284.1,4601.8,0,4601.8,,,,
2/12/91,4149.8,4309.3,4084.3,4297.3,0,4297.3,,,,
1/11/91,4041.4,4280.8,4028.2,4149.8,0,4149.8,,,,
1/10/91,3958.2,4093.4,3958.2,4038.7,0,4038.7,,,,
2/9/91,3998,4033,3858,3956.7,0,3956.7,,,,
1/8/91,4012,4094,3708,3998,0,3998,,,,
1/7/91,3672,4047,3672,4009,0,4009,,,,
3/6/91,3694,3706,3549,3668,0,3668,,,,
1/5/91,3588,3917,3557,3707,0,3707,,,,
2/4/91,3745,3889,3538,3588,0,3588,,,,
1/3/91,3541,3761,3536,3745,0,3745,,,,
1/2/91,3243,3554,3220,3552,0,3552,,,,
2/1/91,3024,3256,2970,3243,0,3243,,,,
3/12/90,2970,3178,2970,3024,0,3024,,,,
1/11/90,2989,3051,2911,2965,0,2965,,,,
1/10/90,2760,3085,2758,2990,0,2990,,,,
3/9/90,3089,3113,2732,2760,0,2760,,,,
1/8/90,3438,3488,2813,3087,0,3087,,,,
2/7/90,3278,3559,3278,3438,0,3438,,,,
1/6/90,3139,3305,3136,3278,0,3278,,,,
1/5/90,2948,3137,2906,3132,0,3132,,,,
2/4/90,2997,3073,2931,2951,0,2951,,,,
1/3/90,2951,3027,2862,2997,0,2997,,,,
1/2/90,2751,2982,2697,2952,0,2952,,,,
2/1/90,2836,2889,2732,2751.6,0,2751.6,,,,
1/12/89,2748,2962,2735,2836.6,0,2836.6,,,,
1/11/89,2725,2826,2706,2748.4,0,2748.4,,,,
2/10/89,2746.7,2844,2595,2725.3,0,2725.3,,,,
1/9/89,2508.9,2758.2,2508.9,2758.2,0,2758.2,,,,
1/8/89,2579,2640.4,2487,2508.6,0,2508.6,,,,
3/7/89,2270.8,2571.1,2270.8,2571.1,0,2571.1,,,,
1/6/89,2690,2690,2093.6,2273.9,0,2273.9,,,,
1/5/89,3123.9,3309.6,2686,2743.9,0,2743.9,,,,
3/4/89,2987.2,3164.1,2987.2,3116,0,3116,,,,
1/3/89,3037.1,3150.9,2980.8,3005,0,3005,,,,
1/2/89,3060.9,3210,3012.7,3012.7,0,3012.7,,,,
3/1/89,2706.7,3072.9,2706.7,3072.9,0,3072.9,,,,
